,Grafton,Rockingham,Hillsborough,Carroll,Belknap,Merrimack,Cheshire,Strafford,Sullivan,Coos,Unknown
2020-03-02,1,,,,,,,,,,
2020-03-03,2,,,,,,,,,,
2020-03-04,2,,,,,,,,,,
2020-03-05,2,,,,,,,,,,
2020-03-06,2,,,,,,,,,,
2020-03-07,3,1,,,,,,,,,
2020-03-08,3,1,,,,,,,,,
2020-03-09,3,1,,,,,,,,,
2020-03-10,3,2,,,,,,,,,
2020-03-11,3,2,,,,,,,,,
2020-03-12,3,3,,,,,,,,,
2020-03-13,3,4,,,,,,,,,
2020-03-14,3,4,,,,,,,,,
2020-03-15,3,9,1,,,,,,,,
2020-03-16,5,10,1,1,,,,,,,
2020-03-17,7,14,4,1,,,,,,,
2020-03-18,7,17,8,4,2,1,,,,,
2020-03-19,9,18,8,4,3,2,,,,,
2020-03-20,13,20,11,5,3,2,1,,,,
2020-03-21,14,25,12,5,3,4,1,1,,,
2020-03-22,15,28,16,6,4,4,1,3,1,,
2020-03-23,20,38,19,7,7,4,1,4,1,,
2020-03-24,21,42,20,7,7,4,1,5,1,,
2020-03-25,22,56,30,7,8,5,1,7,1,,
2020-03-26,23,67,35,7,8,7,2,7,2,,
2020-03-27,26,75,43,8,9,11,2,11,2,,
2020-03-28,28,86,53,8,9,14,2,12,2,,
2020-03-29,30,100,68,10,9,18,3,17,3,,
2020-03-30,35,116,91,10,12,22,3,22,3,,
2020-03-31,35,137,108,12,12,27,4,28,4,,
2020-04-01,36,154,129,14,13,28,7,30,4,,
2020-04-02,38,170,163,14,13,33,8,35,5,,
2020-04-03,38,190,194,17,14,36,9,36,5,1,
2020-04-04,41,213,231,17,17,39,10,43,5,1,4
2020-04-05,41,230,249,19,17,45,11,44,6,1,6
2020-04-06,41,246,272,19,18,52,13,46,6,1,1
2020-04-07,41,255,288,19,21,56,13,46,6,1,1
2020-04-08,43,268,303,23,21,60,14,48,6,1,1
2020-04-09,43,277,318,27,21,63,14,49,6,1,
2020-04-10,43,305,344,28,21,66,17,53,6,2,
2020-04-11,43,314,367,28,21,71,18,58,6,2,1
2020-04-12,45,345,385,28,22,73,19,59,6,2,1
2020-04-13,45,360,398,30,22,75,20,61,6,2,1
2020-04-14,45,378,440,29,24,75,21,69,7,2,1
2020-04-15,44,399,458,29,24,81,26,69,7,2,
2020-04-16,44,433,483,29,24,85,26,76,8,2,1
2020-04-17,44,449,525,32,25,88,27,84,9,2,2
2020-04-18,45,466,552,30,25,92,28,92,10,2,0
2020-04-19,45,479,581,30,26,94,29,94,10,2,2
2020-04-20,45,489,604,30,26,96,30,111,10,2,4
2020-04-21,45,493,626,30,28,101,30,111,10,2,15
2020-04-22,45,519,681,30,28,105,33,118,10,2,17
2020-04-23,46,551,721,30,28,113,35,123,10,2,11
2020-04-24,47,568,753,30,30,115,35,126,11,2,3
2020-04-25,47,593,780,30,31,129,36,129,10,2,6
2020-04-26,48,619,824,30,31,126,36,132,11,2,5
2020-04-27,48,643,859,31,35,128,38,132,11,2,11
2020-04-28,48,664,896,31,34,144,40,133,11,2,7
2020-04-29,48,670,931,31,33,145,40,139,11,2,4
2020-04-30,50,692,964,31,34,177,40,141,12,2,3
2020-05-01,51,779,1012,32,37,185,40,145,12,2,15
2020-05-02,53,828,1058,32,38,191,40,149,12,2,26
2020-05-03,53,862,1109,32,39,195,40,155,12,2,19
2020-05-04,53,878,1157,33,40,200,40,158,12,2,15
2020-05-05,54,888,1181,34,40,206,41,163,12,2,15
2020-05-06,54,903,1252,34,41,213,41,168,13,2,20
2020-05-07,55,933,1308,35,42,220,41,172,14,2,21
2020-05-08,56,949,1375,36,42,227,43,175,14,2,28
2020-05-09,55,964,1404,36,44,234,43,183,14,2,32
2020-05-10,56,978,1438,37,46,237,43,192,14,2,28
2020-05-11,58,994,1496,37,46,243,43,196,14,2,31
2020-05-12,57,1010,1551,37,47,252,44,199,14,2,26
2020-05-13,58,1021,1592,37,47,256,45,201,14,2,26
2020-05-14,59,1040,1624,39,49,261,45,215,14,2,34
2020-05-15,61,1069,1680,39,50,221,47,221,16,4,56
2020-05-16,61,1095,1723,41,51,278,47,230,16,4,10
2020-05-17,61,1104,1747,44,53,278,47,232,16,4,10
2020-05-18,62,1113,1764,44,53,282,48,234,16,4,32
2020-05-19,63,1138,1820,44,53,283,49,240,16,4,11
2020-05-20,64,1159,1932,44,54,290,49,242,16,4,14
2020-05-21,66,1179,1963,46,54,299,50,243,16,4,15
2020-05-22,68,1199,2004,46,54,307,51,248,16,4,17
2020-05-23,69,1218,2049,46,55,312,51,253,17,4,15
2020-05-24,69,1223,2095,46,55,320,52,254,17,4,14
2020-05-25,69,1230,2132,46,55,321,54,257,17,4,12
2020-05-26,69,1240,2149,46,56,324,54,259,17,5,12
2020-05-27,72,1254,2183,46,57,327,54,261,17,5,10
2020-05-28,74,1277,2254,46,57,331,55,263,17,5,10
2020-05-29,74,1284,2342,46,58,334,57,267,19,5,6
2020-05-30,75,1293,2378,47,59,340,57,268,19,5,4
2020-05-31,76,1306,2464,47,60,342,57,269,19,5,6
2020-06-01,76,1313,2486,48,60,346,57,269,19,5,6
2020-06-02,76,1320,2528,48,63,352,57,271,19,5,10
2020-06-03,76,1336,2554,48,63,353,57,273,20,5,10
2020-06-04,76,1347,2614,48,64,359,57,278,20,5,8
2020-06-05,76,1359,2670,48,67,367,57,277,20,5,7
2020-06-06,77,1378,2709,48,67,371,57,277,20,5,10
2020-06-07,76,1380,2731,48,68,372,57,277,20,5,9
2020-06-08,76,1386,2753,48,70,375,59,277,20,6,9
2020-06-09,76,1393,2792,49,70,380,59,278,21,6,8
2020-06-10,76,1392,2833,49,70,383,59,278,24,6,8
2020-06-11,76,1400,2853,49,72,386,60,278,25,6,4
2020-06-12,76,1406,2883,49,73,390,60,278,25,6,5
2020-06-13,76,1410,2925,49,74,391,60,278,25,6,5
2020-06-14,76,1412,2942,49,74,391,60,278,25,6,5
2020-06-15,76,1416,2963,49,74,392,60,279,25,6,5
2020-06-16,75,1418,2981,49,74,392,62,279,24,6,4
2020-06-17,75,1422,3048,49,74,392,63,280,24,6,3
2020-06-18,76,1424,3060,49,76,392,62,280,24,6,1
2020-06-19,76,1427,3087,51,77,393,63,281,24,6,1
2020-06-20,76,1429,3110,51,78,396,64,283,24,6,1
2020-06-21,76,1436,3126,52,78,396,64,284,24,6,2
2020-06-22,76,1439,3134,52,78,397,64,285,24,6,3
2020-06-23,76,1442,3145,52,78,398,64,285,24,6,1
2020-06-24,77,1443,3163,52,78,400,66,286,25,6,2
2020-06-25,80,1450,3187,53,78,401,66,288,27,6,2
2020-06-26,83,1455,3199,53,79,407,67,290,30,6,2
2020-06-27,83,1465,3231,53,81,408,67,290,31,6,2
2020-06-28,84,1470,3254,54,81,407,67,291,31,6,2
2020-06-29,84,1470,3263,54,81,409,69,292,31,6,1
2020-06-30,85,1474,3275,54,81,410,71,292,32,7,1
2020-07-01,86,1476,3288,54,81,412,72,292,33,7,1
2020-07-02,86,1479,3295,61,81,414,72,292,34,7,1
2020-07-03,87,1489,3312,61,82,417,72,294,34,7,2
2020-07-04,87,1492,3322,61,81,418,72,295,35,7,1
2020-07-05,88,1494,3341,60,82,418,73,295,35,7,4
2020-07-06,88,1495,3348,63,85,419,73,296,35,9,3
