,Unknown,Bristol,Kent,Newport,Providence,Washington
2020-03-01,0,,,,,
2020-03-02,0,,,,,
2020-03-03,0,,,,,
2020-03-04,0,,,,,
2020-03-05,0,,,,,
2020-03-06,0,,,,,
2020-03-07,0,,,,,
2020-03-08,0,,,,,
2020-03-09,0,,,,,
2020-03-10,0,,,,,
2020-03-11,0,,,,,
2020-03-12,0,,,,,
2020-03-13,0,,,,,
2020-03-14,0,,,,,
2020-03-15,0,,,,,
2020-03-16,0,,,,,
2020-03-17,0,,,,,
2020-03-18,0,,,,,
2020-03-19,0,,,,,
2020-03-20,0,,,,,
2020-03-21,0,,,,,
2020-03-22,0,,,,,
2020-03-23,0,,,,,
2020-03-24,0,,,,,
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,3,0,0,0,0,0
2020-03-30,4,0,0,0,0,0
2020-03-31,8,0,0,0,0,0
2020-04-01,7,0,0,0,3,0
2020-04-02,9,0,0,0,3,0
2020-04-03,7,0,0,0,7,0
2020-04-04,10,0,0,0,7,0
2020-04-05,18,0,0,0,7,0
2020-04-06,20,0,0,0,7,0
2020-04-07,13,0,0,0,17,0
2020-04-08,15,0,0,0,20,0
2020-04-09,23,0,0,0,20,0
2020-04-10,29,0,0,0,20,0
2020-04-11,36,0,0,0,20,0
2020-04-12,43,0,0,0,20,0
2020-04-13,53,0,0,0,20,0
2020-04-14,60,0,0,0,20,0
2020-04-15,67,0,0,0,20,0
2020-04-16,85,0,0,0,20,0
2020-04-17,98,0,0,0,20,0
2020-04-18,117,0,0,0,20,0
2020-04-19,130,0,0,0,20,0
2020-04-20,135,0,0,0,20,0
2020-04-21,151,0,0,0,20,0
2020-04-22,161,0,0,0,20,0
2020-04-23,169,0,0,0,20,0
2020-04-24,182,0,0,0,20,0
2020-04-25,96,0,2,0,111,6
2020-04-26,111,0,2,0,107,6
2020-04-27,118,0,2,0,107,6
2020-04-28,124,0,2,0,107,6
2020-04-29,104,0,4,0,132,11
2020-04-30,119,0,4,0,132,11
2020-05-01,132,0,4,0,132,11
2020-05-02,149,0,4,0,132,11
2020-05-03,1,0,25,4,265,25
2020-05-04,22,0,25,4,265,25
2020-05-05,36,0,25,4,265,25
2020-05-06,51,0,25,4,265,25
2020-05-07,69,0,25,4,265,25
2020-05-08,80,0,25,4,265,25
2020-05-09,99,0,25,4,265,25
2020-05-10,103,0,25,4,265,25
2020-05-11,5,1,46,4,342,32
2020-05-12,19,1,46,4,342,32
2020-05-13,37,1,46,4,342,32
2020-05-14,43,1,46,4,342,32
2020-05-15,54,1,46,4,342,32
2020-05-16,64,1,46,4,342,32
2020-05-17,74,1,46,4,342,32
2020-05-18,81,1,46,4,342,32
2020-05-19,107,1,46,4,342,32
2020-05-20,113,1,46,4,342,32
2020-05-21,131,1,46,4,342,32
2020-05-22,154,1,46,4,342,32
2020-05-23,172,1,46,4,342,32
2020-05-24,183,1,46,4,342,32
2020-05-25,183,1,46,4,342,32
2020-05-26,209,1,46,4,342,32
2020-05-27,3,11,68,4,518,51
2020-05-28,25,11,68,4,518,51
2020-05-29,41,11,68,4,518,51
2020-05-30,59,11,68,4,518,51
2020-05-31,66,11,68,4,518,51
2020-06-01,68,11,68,4,518,51
2020-06-02,80,11,68,4,518,51
2020-06-03,90,11,68,4,518,51
2020-06-04,104,11,68,4,518,51
2020-06-05,120,11,68,4,518,51
2020-06-06,120,11,68,4,518,51
2020-06-07,120,11,68,4,518,51
2020-06-08,2,13,82,4,637,61
2020-06-09,11,13,82,4,637,61
2020-06-10,15,13,82,4,637,61
2020-06-11,26,13,82,4,637,61
2020-06-12,36,13,82,4,637,61
2020-06-13,36,13,82,4,637,61
2020-06-14,36,13,82,4,637,61
2020-06-15,54,13,82,4,637,61
2020-06-16,68,13,82,4,637,61
2020-06-17,79,13,82,4,637,61
2020-06-18,88,13,82,4,637,61
2020-06-19,97,13,82,4,637,61
2020-06-20,97,13,82,4,637,61
2020-06-21,97,13,82,4,637,61
2020-06-22,106,13,82,4,637,61
2020-06-23,109,13,82,4,637,61
2020-06-24,115,13,82,4,637,61
2020-06-25,123,13,82,4,637,61
2020-06-26,3,15,93,6,747,63
2020-06-27,3,15,93,6,747,63
2020-06-28,3,15,93,6,747,63
2020-06-29,22,15,93,6,747,63
2020-06-30,26,15,93,6,747,63
2020-07-01,32,15,93,6,747,63
2020-07-02,35,15,93,6,747,63
2020-07-03,36,15,93,6,747,63
2020-07-04,36,15,93,6,747,63
2020-07-05,36,15,93,6,747,63
2020-07-06,36,15,93,6,747,63
2020-07-07,45,15,93,6,747,63
2020-07-08,16,15,97,6,774,63
2020-07-09,19,15,97,6,774,63
2020-07-10,21,15,97,6,774,63
2020-07-11,21,15,97,6,774,63
2020-07-12,21,15,97,6,774,63
2020-07-13,29,15,97,6,774,63
