,Bennington,Chittenden,Washington,Windsor,Orange,Addison,Rutland,Franklin,Windham,Unknown,Caledonia,Orleans,Lamoille,Grand Isle,Essex
2020-03-07,0,,,,,,,,,,,,,,
2020-03-08,0,,,,,,,,,,,,,,
2020-03-09,0,,,,,,,,,,,,,,
2020-03-10,0,,,,,,,,,,,,,,
2020-03-11,0,0,,,,,,,,,,,,,
2020-03-12,0,0,,,,,,,,,,,,,
2020-03-13,0,0,,,,,,,,,,,,,
2020-03-14,0,0,0,0,,,,,,,,,,,
2020-03-15,0,0,0,0,,,,,,,,,,,
2020-03-16,0,0,0,0,0,,,,,,,,,,
2020-03-17,0,0,0,0,0,,,,,,,,,,
2020-03-18,0,0,0,0,0,,,,,,,,,,
2020-03-19,0,1,0,1,0,,,,,,,,,,
2020-03-20,0,1,0,1,0,0,0,,,,,,,,
2020-03-21,0,1,0,1,0,0,0,0,0,,,,,,
2020-03-22,0,1,0,1,0,0,0,0,0,,,,,,
2020-03-23,0,1,0,1,0,0,0,0,0,0,,,,,
2020-03-24,0,1,0,1,0,0,0,0,0,5,0,0,,,
2020-03-25,0,6,0,1,0,0,0,0,0,1,0,0,0,,
2020-03-26,0,6,0,1,0,0,0,0,0,2,0,0,0,,
2020-03-27,0,6,0,1,0,0,0,0,0,3,0,0,0,,
2020-03-28,0,6,0,1,0,0,0,0,0,5,0,0,0,,
2020-03-29,0,6,0,1,0,0,0,0,0,5,0,0,0,,
2020-03-30,0,6,0,1,0,0,0,0,0,5,0,0,0,,
2020-03-31,0,6,0,1,0,0,0,0,0,6,0,0,0,,
2020-04-01,0,6,0,1,0,0,0,0,0,9,0,0,0,,
2020-04-02,0,6,0,1,0,0,0,0,0,10,0,0,0,,
2020-04-03,0,6,0,1,0,0,0,0,0,10,0,0,0,,
2020-04-04,0,6,0,1,0,0,0,0,0,13,0,0,0,,
2020-04-05,0,6,0,1,0,0,0,0,0,15,0,0,0,,
2020-04-06,0,6,0,1,0,0,0,0,0,16,0,0,0,,
2020-04-07,0,6,0,1,0,0,0,0,0,16,0,0,0,0,
2020-04-08,1,15,0,2,0,0,0,3,1,0,0,0,1,0,0
2020-04-09,1,15,0,2,0,0,0,3,1,0,0,0,1,0,0
2020-04-10,1,15,0,2,0,0,0,3,1,1,0,0,1,0,0
2020-04-11,1,16,0,2,0,0,0,3,1,0,0,0,1,0,0
2020-04-12,1,17,0,2,0,1,0,3,1,0,0,0,1,0,0
2020-04-13,1,18,0,2,0,1,0,3,1,0,0,0,1,0,0
2020-04-14,1,19,0,2,0,1,0,3,1,0,0,0,1,0,0
2020-04-15,1,20,0,2,0,1,0,3,1,0,0,0,1,0,0
2020-04-16,1,22,1,2,0,1,1,3,2,0,0,0,1,0,0
2020-04-17,1,22,1,2,0,1,1,3,2,0,0,0,1,0,0
2020-04-18,1,23,1,2,0,2,1,3,2,0,0,0,1,0,0
2020-04-19,1,23,1,2,0,2,1,3,2,0,0,0,1,0,0
2020-04-20,1,24,1,2,0,2,1,3,2,0,0,0,1,0,0
2020-04-21,1,25,1,2,0,2,1,4,2,0,0,0,1,0,0
2020-04-22,1,25,1,2,0,2,1,4,2,0,0,0,1,0,0
2020-04-23,1,27,1,2,0,2,1,5,2,0,0,0,1,0,0
2020-04-24,1,28,1,2,0,2,1,5,2,0,0,0,1,0,0
2020-04-25,1,30,1,2,0,2,1,5,2,0,0,0,1,0,0
2020-04-26,1,30,1,2,0,2,1,5,2,0,0,0,1,0,0
2020-04-27,1,31,1,2,0,2,1,5,2,0,0,0,1,0,0
2020-04-28,1,31,1,2,0,2,1,5,2,0,0,0,1,0,0
2020-04-29,1,31,1,2,0,2,1,5,2,0,0,0,1,0,0
2020-04-30,1,32,1,2,0,2,1,5,3,0,0,0,1,0,0
2020-05-01,1,33,1,2,0,2,1,5,3,0,0,0,1,0,0
2020-05-02,1,34,1,2,0,2,1,5,3,0,0,0,1,0,0
