,Bennington,Chittenden,Washington,Windsor,Orange,Addison,Rutland,Franklin,Windham,Unknown,Caledonia,Orleans,Lamoille,Grand Isle,Essex
2020-03-07,1,,,,,,,,,,,,,,
2020-03-08,1,,,,,,,,,,,,,,
2020-03-09,1,,,,,,,,,,,,,,
2020-03-10,1,,,,,,,,,,,,,,
2020-03-11,1,1,,,,,,,,,,,,,
2020-03-12,1,1,,,,,,,,,,,,,
2020-03-13,1,1,,,,,,,,,,,,,
2020-03-14,1,1,1,2,,,,,,,,,,,
2020-03-15,2,2,1,3,,,,,,,,,,,
2020-03-16,3,4,1,3,1,,,,,,,,,,
2020-03-17,3,6,1,3,1,,,,,,,,,,
2020-03-18,3,11,1,3,1,,,,,,,,,,
2020-03-19,4,12,1,3,2,,,,,,,,,,
2020-03-20,4,12,2,6,3,1,1,,,,,,,,
2020-03-21,4,22,2,8,3,3,3,2,2,,,,,,
2020-03-22,4,22,2,8,3,3,3,2,5,,,,,,
2020-03-23,4,22,2,8,3,3,3,2,5,23,,,,,
2020-03-24,9,40,3,15,3,8,5,2,5,2,1,2,,,
2020-03-25,11,55,5,17,3,9,5,3,7,0,1,3,4,,
2020-03-26,11,75,7,17,3,12,5,4,7,8,1,3,5,,
2020-03-27,13,90,9,18,3,13,5,6,9,6,2,4,6,,
2020-03-28,15,105,10,18,3,15,6,7,9,7,2,5,9,,
2020-03-29,16,117,12,18,3,17,6,9,11,7,2,5,12,,
2020-03-30,17,133,13,18,4,21,6,11,11,2,2,5,13,,
2020-03-31,18,152,15,18,4,23,6,13,11,11,2,7,13,,
2020-04-01,18,164,15,18,4,24,10,15,16,14,3,7,13,,
2020-04-02,17,177,15,20,4,26,12,16,18,8,4,7,14,,
2020-04-03,19,199,21,20,4,32,17,21,21,6,4,8,17,,
2020-04-04,23,245,21,24,4,34,24,23,21,12,5,8,17,,
2020-04-05,24,271,22,22,4,40,27,27,31,13,6,8,17,,
2020-04-06,25,285,22,22,4,40,28,29,35,21,6,8,18,,
2020-04-07,27,308,24,24,4,47,31,33,38,3,8,8,19,1,
