,Bergen,Camden,Passaic,Hudson,Monmouth,Union,Burlington,Middlesex,Essex,Morris,Unknown,Ocean,Mercer,Hunterdon,Somerset,Gloucester,Warren,Atlantic,Cape May,Sussex,Cumberland,Salem
2020-03-04,0,,,,,,,,,,,,,,,,,,,,,
2020-03-05,0,,,,,,,,,,,,,,,,,,,,,
2020-03-06,0,0,,,,,,,,,,,,,,,,,,,,
2020-03-07,0,0,,,,,,,,,,,,,,,,,,,,
2020-03-08,0,0,0,,,,,,,,,,,,,,,,,,,
2020-03-09,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2020-03-10,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
2020-03-11,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2020-03-12,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-03-13,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2020-03-14,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
2020-03-15,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
2020-03-16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-03-17,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-03-18,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020-03-19,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
2020-03-20,7,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-21,9,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,
2020-03-22,10,0,1,0,2,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-23,12,0,2,0,2,1,0,1,5,1,0,0,0,0,2,0,1,0,0,0,0,0
2020-03-24,14,1,3,3,4,2,0,1,8,4,0,1,0,0,2,0,1,0,0,0,0,0
2020-03-25,15,1,4,4,6,3,1,2,11,5,0,5,0,0,3,0,1,0,0,0,1,0
2020-03-26,21,1,5,4,7,3,3,5,15,7,0,5,0,0,4,0,1,0,0,0,1,0
2020-03-27,28,1,5,4,10,3,3,9,18,9,0,8,0,0,7,1,1,0,0,0,1,0
2020-03-28,35,1,7,6,10,10,3,14,20,12,0,9,0,0,8,1,2,0,0,1,1,0
2020-03-29,35,1,7,6,10,10,3,14,20,12,21,9,0,0,8,1,2,0,0,1,1,0
2020-03-30,41,1,9,11,15,15,5,20,36,13,0,12,0,0,14,1,2,0,0,3,1,0
2020-03-31,53,3,11,16,21,24,5,24,47,21,0,18,1,0,14,2,2,0,0,3,1,1
2020-04-01,75,3,15,29,24,29,5,27,69,25,0,23,3,0,15,2,3,0,0,6,1,1
2020-04-02,120,8,22,44,38,34,8,48,99,40,4,38,4,0,17,2,3,1,0,7,1,1
2020-04-03,132,8,34,59,48,45,9,56,118,43,4,45,5,0,23,3,3,1,0,8,1,2
2020-04-04,179,10,38,78,54,66,10,76,156,51,11,56,13,1,24,3,6,1,1,9,2,2
2020-04-05,189,10,42,87,58,71,11,80,172,55,11,62,16,2,26,3,6,1,2,9,2,2
2020-04-06,200,10,53,92,62,78,11,87,186,60,14,71,19,2,31,3,7,1,3,11,2,2
2020-04-07,263,12,62,103,71,95,13,100,232,87,4,85,24,2,40,5,7,4,3,15,2,3
